,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
16590,Syringa vulgaris,Paprastosios alyvos,Plantae,83072,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Oleaceae,,,,,Syringa,,Syringa vulgaris,,,,
16594,Drosera rotundifolia,Apskritalapė saulašarė,Plantae,52658,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Droseraceae,,,,,Drosera,,Drosera rotundifolia,,,,
16617,Medicago lupulina,Apyninė liucerna,Plantae,57056,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Trifolieae,,Medicago,,Medicago lupulina,,,,
16664,Abia fasciata,,Insecta,461218,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Symphyta,Tenthredinoidea,Cimbicidae,Abiinae,,,,Abia,,Abia fasciata,,,,
16687,Milium effusum,Miškinė sorokė,Plantae,165390,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Poeae,Miliinae,Milium,,Milium effusum,,,,
16702,Hypochaeris radicata,Snaudalinė džiugūnė,Plantae,53104,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,,Cichorieae,Hypochaeridinae,Hypochaeris,,Hypochaeris radicata,,,,
16705,Arctium lappa,Didžioji varnalėša,Plantae,75501,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Carduoideae,,Cardueae,Carduinae,Arctium,,Arctium lappa,,,,
16707,Geranium sylvaticum,Miškinis snaputis,Plantae,85429,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Geraniales,,,Geraniaceae,,,,,Geranium,,Geranium sylvaticum,,,,
16710,Anchusa arvensis,Dirvinis godulis,Plantae,62200,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Boraginoideae,,Boragineae,,Anchusa,,Anchusa arvensis,,,,
16715,Phyteuma spicatum,Varpotoji glaudenė,Plantae,133517,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Campanulaceae,Campanuloideae,,,,Phyteuma,,Phyteuma spicatum,,,,
16724,Alchemilla micans,Spindinčioji rasakila,Plantae,450258,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,,Potentilleae,Fragariinae,Alchemilla,,Alchemilla micans,,,,
16733,Cyclosa conica,Viengubris Kūgiavoris,Arachnida,205888,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,,,,Cyclosa,,Cyclosa conica,,,,
16760,Aceria,,Arachnida,84335,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Endeostigmata,,Eriophyoidea,Eriophyidae,Eriophyinae,,Aceriini,,Aceria,,,,,,
16761,Aceria dispar,,Arachnida,750903,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Endeostigmata,,Eriophyoidea,Eriophyidae,Eriophyinae,,Aceriini,,Aceria,,Aceria dispar,,,,
16770,Carex vesicaria,Pūslėtoji viksva,Plantae,76127,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Cyperaceae,Cyperoideae,,Cariceae,,Carex,,Carex vesicaria,,,,
16779,Lotus corniculatus,Paprastasis garždenis,Plantae,47435,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Loteae,,Lotus,,Lotus corniculatus,,,,
16792,Galium boreale,Šiaurinis lipikas,Plantae,77188,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Rubiaceae,Rubioideae,,Rubieae,,Galium,,Galium boreale,,,,
16793,Alchemilla wichurae,Islandinė rasakila,Plantae,450264,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,,Potentilleae,Fragariinae,Alchemilla,,Alchemilla wichurae,,,,
16811,Rickenella fibula,Oranžinė laibūnėlė,Fungi,118170,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Hymenochaetales,,,Rickenellaceae,,,,,Rickenella,,Rickenella fibula,,,,
16822,Anthrenus museorum,,Insecta,130587,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Bostrichoidea,Dermestidae,Megatominae,,Anthrenini,,Anthrenus,,Anthrenus museorum,,,,
16834,Araneidae,Kryžiuočiai,Arachnida,47535,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,,,,,,,,,,,
16849,Eriophyes leiosoma,,Arachnida,319876,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Endeostigmata,,Eriophyoidea,Eriophyidae,Eriophyinae,,Eriophyini,,Eriophyes,,Eriophyes leiosoma,,,,
16853,Nicrophorus humator,Juodasis Duobkasys,Insecta,131875,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Staphylinoidea,Silphidae,Nicrophorinae,,,,Nicrophorus,,Nicrophorus humator,,,,
16857,Norellisoma spinimanum,,Insecta,356340,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Muscoidea,Scathophagidae,Scathophaginae,,,,Norellisoma,,Norellisoma spinimanum,,,,
16861,Cantharis rufa,Rausvasis minkštavabalis,Insecta,216011,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,,Cantharini,,Cantharis,,Cantharis rufa,,,,
16867,Tordylieae,,Plantae,790594,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,,Tordylieae,,,,,,,,
16872,Eriophyes,,Arachnida,179930,Animalia,Arthropoda,Chelicerata,,Arachnida,Acari,Acariformes,Endeostigmata,,Eriophyoidea,Eriophyidae,Eriophyinae,,Eriophyini,,Eriophyes,,,,,,
16877,Spilosoma lubricipeda,Taškuotoji meškutė,Insecta,81653,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Arctiinae,,Arctiini,Spilosomina,Spilosoma,,Spilosoma lubricipeda,,,,
16878,Cynoglossoideae,,Plantae,796031,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Cynoglossoideae,,,,,,,,,,
16882,Mucorales,,Fungi,123763,Fungi,Zygomycota,Mucoromycotina,,Mucoromycetes,,,Mucorales,,,,,,,,,,,,,,
16897,Pleurotaceae,,Fungi,48495,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Pleurotineae,,Pleurotaceae,,,,,,,,,,,
16914,Syrphus ribesii,Serbentinė Žiedmusė,Insecta,52488,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Syrphinae,,Syrphini,,Syrphus,,Syrphus ribesii,,,,
16916,Vespa crabro,Širšuolas,Insecta,54327,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,,,,Vespa,,Vespa crabro,,,,
16928,Dendrometrinae,,Insecta,460786,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,,,,,,,,,,
16929,Cupressoideae,,Plantae,1150915,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Cupressaceae,Cupressoideae,,,,,,,,,,
16934,Equisetum palustre,Gegužinis asiūklis,Plantae,76846,Plantae,Tracheophyta,,,Polypodiopsida,Equisetidae,,Equisetales,,,Equisetaceae,,,,,Equisetum,,Equisetum palustre,,,,
16935,Altica oleracea,Nakvišinė didspragė,Insecta,494591,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Galerucinae,,Alticini,Alticina,Altica,,Altica oleracea,,,,
16965,Lythraria salicariae,Paprastoji šilingspragė,Insecta,569883,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Galerucinae,,Alticini,,Lythraria,,Lythraria salicariae,,,,
16966,Aedes,,Insecta,62989,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Culicoidea,Culicidae,Culicinae,,Aedini,,Aedes,,,,,,
16970,Araniella cucurbitina,Raudondėmis voriukas,Arachnida,129017,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,,,,Araniella,,Araniella cucurbitina,,,,
17003,Rhopalidae,Netikrosios kampuotblakės,Insecta,53225,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Coreoidea,Rhopalidae,,,,,,,,,,,
17008,Aglia tau,Aglija,Insecta,125099,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Bombycoidea,Saturniidae,Agliinae,,,,Aglia,,Aglia tau,,,,
17014,Helina evecta,,Insecta,452795,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Muscoidea,Muscidae,Phaoniinae,,,,Helina,,Helina evecta,,,,
17022,Sylvia borin,Sodinė devynbalsė,Aves,15302,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Sylviidae,,,,,Sylvia,,Sylvia borin,,,,
17035,Lampronia capitella,Serbentinė kandis,Insecta,222642,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Adeloidea,Prodoxidae,Lamproniinae,,,,Lampronia,,Lampronia capitella,,,,
17043,Lathyrus pratensis,Pievinis Pelėžirnis,Plantae,125787,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Fabeae,,Lathyrus,,Lathyrus pratensis,,,,
17047,Veronica longifolia,Ilgalapė veronika,Plantae,170192,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,,Veroniceae,,Veronica,,Veronica longifolia,,,,
17054,Caloscypha fulgens,Ryškioji gražiataurė,Fungi,153035,Fungi,Ascomycota,Pezizomycotina,,Pezizomycetes,,,Pezizales,,,Caloscyphaceae,,,,,Caloscypha,,Caloscypha fulgens,,,,
17070,Pteridium,,Plantae,52683,Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,Polypodiales,Dennstaedtiineae,,Dennstaedtiaceae,,,,,Pteridium,,,,,,
17073,Pleurodelinae,,Amphibia,787591,Animalia,Chordata,Vertebrata,,Amphibia,,,Caudata,,,Salamandridae,Pleurodelinae,,,,,,,,,,
17074,Ennominae,Žievėsprindžiai,Insecta,123033,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,,,,,,,,,,
17093,Coenagrion puella,Pasaginė strėliukė,Insecta,51678,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,,,,,Coenagrion,,Coenagrion puella,,,,
17097,Malachius aeneus,Žaliasis pūsliavabalis,Insecta,82061,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cleroidea,Melyridae,Malachiinae,,Malachiini,Malachiina,Malachius,,Malachius aeneus,,,,
17116,Luzula multiflora,Daugiažiedis kiškiagrikis,Plantae,164948,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,,,Luzula,,Luzula multiflora,,,,
17132,Trachyspora intrusa,,Fungi,515719,Fungi,Basidiomycota,Pucciniomycotina,,Pucciniomycetes,,,Pucciniales,Uredinineae,,Phragmidiaceae,,,,,Trachyspora,,Trachyspora intrusa,,,,
17133,Hagenella clathrata,,Insecta,546238,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Trichoptera,Integripalpia,Phryganeoidea,Phryganeidae,,,,,Hagenella,,Hagenella clathrata,,,,
17143,Convallaria,Pakalnutė,Plantae,48210,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,,Convallarieae,,Convallaria,,,,,,
17144,Fomitopsis,Pintainė,Fungi,118056,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Fomitopsidaceae,,,,,Fomitopsis,,,,,,
17159,Philopotamidae,,Insecta,154581,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Trichoptera,Annulipalpia,Philopotamoidea,Philopotamidae,,,,,,,,,,,
17170,Darmera peltata,,Plantae,67696,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,,Darmereae,,Darmera,,Darmera peltata,,,,
17174,Populus,,Plantae,1430522,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,,,,Populus,,,,,,
17177,Cheiracanthium erraticum,Klajoklinis diegliavoris,Arachnida,337724,Animalia,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Corinnoidea,Cheiracanthiidae,,,,,Cheiracanthium,,Cheiracanthium erraticum,,,,
17190,Ptychoptera,,Insecta,202099,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,,Ptychopteridae,Ptychopterinae,,,,Ptychoptera,,,,,,
17200,Rubus chamaemorus,Paprastoji tekšė,Plantae,153003,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,,Rubeae,,Rubus,,Rubus chamaemorus,,,,
17205,Cryptocephalinae,Paslėptagalvėnai,Insecta,132465,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Cryptocephalinae,,,,,,,,,,
17218,Coreoidea,,Insecta,51776,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Coreoidea,,,,,,,,,,,,
17226,Juglandaceae,,Plantae,54497,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Juglandaceae,,,,,,,,,,,
17228,Gomphus vulgatissimus,Upelinis Laumžirgis,Insecta,57454,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,Gomphoidea,Gomphidae,,,,,Gomphus,,Gomphus vulgatissimus,,,,
17239,Erysimum cheiranthoides,Smalkinis tvertikas,Plantae,77068,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,,,Erysimeae,,Erysimum,,Erysimum cheiranthoides,,,,
17240,Anchusa officinalis,Vaistinis godas,Plantae,75430,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Boraginoideae,,Boragineae,,Anchusa,,Anchusa officinalis,,,,
17244,Euphorbia esula,Didžioji karpažolė,Plantae,162821,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Euphorbiaceae,Euphorbioideae,,Euphorbieae,Euphorbiinae,Euphorbia,,Euphorbia esula,,,,
17252,Helophilus pendulus,,Insecta,52486,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Syrphidae,Eristalinae,,Eristalini,Helophilina,Helophilus,,Helophilus pendulus,,,,
17285,Erannis defoliaria,Didysis žiemsprindis,Insecta,335848,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Geometroidea,Geometridae,Ennominae,,Erannini,,Erannis,,Erannis defoliaria,,,,
17287,Curculio,Vaisiastraubliai,Insecta,121294,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Curculioninae,,Curculionini,,Curculio,,,,,,
17289,Chrysomela,Gluosninukai,Insecta,69193,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Chrysomelinae,,Chrysomelini,Chrysomelina,Chrysomela,,,,,,
17302,Chrysomelinae,Lapgraužėnai,Insecta,154472,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Chrysomelinae,,,,,,,,,,
17310,Arion subfuscus,,Mollusca,61428,Animalia,Mollusca,,,Gastropoda,Heterobranchia,Eupulmonata,Stylommatophora,Helicina,Arionoidea,Arionidae,,,,,Arion,,Arion subfuscus,,,,
17321,Ischnura elegans,Elegantiškoji strėliukė,Insecta,61508,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,,,,,Ischnura,,Ischnura elegans,,,,
17337,Anostirus purpureus,Raudonasis pievaspragšis,Insecta,502513,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,,Prosternini,,Anostirus,,Anostirus purpureus,,,,
17351,Argyrogrammatini,,Insecta,122007,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Noctuidae,Plusiinae,,Argyrogrammatini,,,,,,,,
17358,Broscus cephalotes,Didžiagalvis žygis,Insecta,173273,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Adephaga,Caraboidea,Carabidae,Broscinae,,Broscini,Broscina,Broscus,,Broscus cephalotes,,,,
17359,Cameraria ohridella,Kaštoninė keršakandė,Insecta,126088,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Gracillarioidea,Gracillariidae,Lithocolletinae,,,,Cameraria,,Cameraria ohridella,,,,
17380,Geotrupini,,Insecta,633942,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Geotrupidae,Geotrupinae,,Geotrupini,,,,,,,,
17392,Pyrus,Kriaušė,Plantae,58736,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,,Maleae,,Pyrus,,,,,,
17394,Saxifraga tridactylites,Tripirštė uolaskėlė,Plantae,168479,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,,Saxifrageae,,Saxifraga,,Saxifraga tridactylites,,,,
17397,Phyllobius pomaceus,Dilgėlinis Lapinukas,Insecta,450664,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Entiminae,,Phyllobiini,,Phyllobius,,Phyllobius pomaceus,,,,
17417,Eurygaster,,Insecta,176416,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pentatomoidea,Scutelleridae,Eurygasterinae,,,,Eurygaster,,,,,,
17418,Ranunculus polyanthemos,Vagotasis vėdrynas,Plantae,495697,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ranunculales,,,Ranunculaceae,Ranunculoideae,,Ranunculeae,,Ranunculus,,Ranunculus polyanthemos,,,,
17423,Crepidodera,Puošniaspragės,Insecta,174141,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Galerucinae,,Alticini,,Crepidodera,,,,,,
17440,Tetrops praeustus,Slyvinis Ūsuotėlis,Insecta,361262,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cerambycoidea,Cerambycidae,Lamiinae,,Tetraopini,,Tetrops,,Tetrops praeustus,,,,
17446,Acrocephalus palustris,Karklinė nendrinukė,Aves,116802,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Acrocephalidae,,,,,Acrocephalus,,Acrocephalus palustris,,,,
17453,Thymus,Čiobrelis,Plantae,81754,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,,Mentheae,Menthinae,Thymus,,,,,,
17471,Metalimnobia quadrimaculata,,Insecta,604954,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Tipuloidea,Limoniidae,Limoniinae,,Limoniini,,Metalimnobia,,Metalimnobia quadrimaculata,,,,
17472,Tenthredo campestris,,Insecta,497715,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Symphyta,Tenthredinoidea,Tenthredinidae,Tenthredininae,,Tenthredinini,,Tenthredo,,Tenthredo campestris,,,,
17496,Nephrotoma,,Insecta,60417,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Nematocera,Tipuloidea,Tipulidae,Tipulinae,,,,Nephrotoma,,,,,,
17547,Lapsana,,Plantae,55982,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,,Cichorieae,Crepidinae,Lapsana,,,,,,
17556,Erythromma najas,Didžioji raudonakė,Insecta,209688,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,,,,,Erythromma,,Erythromma najas,,,,
17586,Salix triandra,Krantinis gluosnis,Plantae,168365,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Salicaceae,,,,,Salix,,Salix triandra,,,,
17594,Sileneae,,Plantae,791475,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Caryophyllaceae,Caryophylloideae,,Sileneae,,,,,,,,
17605,Mentha aquatica,Vandeninė mėta,Plantae,77990,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Nepetoideae,,Mentheae,Menthinae,Mentha,,Mentha aquatica,,,,
17621,Platycerus caprea,Blindinis elniaragis,Insecta,504597,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Lucanidae,Lucaninae,,Platycerini,,Platycerus,,Platycerus caprea,,,,
17640,Puccinia albescens,,Fungi,1006681,Fungi,Basidiomycota,Pucciniomycotina,,Pucciniomycetes,,,Pucciniales,Uredinineae,,Pucciniaceae,,,,,Puccinia,,Puccinia albescens,,,,
17656,Acrocephalus arundinaceus,Didžioji krakšlė,Aves,204456,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Acrocephalidae,,,,,Acrocephalus,,Acrocephalus arundinaceus,,,,
17676,Lycaena tityrus,Tamsusis Auksinukas,Insecta,154654,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Lycaeninae,,Lycaenini,,Lycaena,,Lycaena tityrus,,,,
17687,Potentilleae,,Plantae,885411,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Rosoideae,,Potentilleae,,,,,,,,
17689,Geotrupes,,Insecta,60538,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Geotrupidae,Geotrupinae,,Geotrupini,,Geotrupes,,,,,,
17694,Coprinopsis,Mėšlabudė,Fungi,48522,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Psathyrellaceae,,,,,Coprinopsis,,,,,,
17696,Libellula depressa,Plokščioji Skėtė,Insecta,563098,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,Libelluloidea,Libellulidae,,,,,Libellula,,Libellula depressa,,,,
17707,Agaricus,Pievagrybis,Fungi,49548,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,Agaricomycetidae,,Agaricales,Agaricineae,,Agaricaceae,,,,,Agaricus,,,,,,
17732,Urophora cardui,Daginė margasparnė,Insecta,63066,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Tephritoidea,Tephritidae,Tephritinae,,Myopitini,,Urophora,,Urophora cardui,,,,
17739,Tetraneura ulmi,Guobinis gumbadaris amaras,Insecta,127163,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Sternorrhyncha,Aphidoidea,Aphididae,Eriosomatinae,,Eriosomatini,,Tetraneura,,Tetraneura ulmi,,,,
17762,Paradoxosomatinae,,Animalia,840566,Animalia,Arthropoda,Myriapoda,,Diplopoda,Chilognatha,Merocheta,Polydesmida,Strongylosomatidea,,Paradoxosomatidae,Paradoxosomatinae,,,,,,,,,,
17771,Laetiporus sulphureus,Valgomoji geltonpintė,Fungi,53713,Fungi,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Laetiporaceae,,,,,Laetiporus,,Laetiporus sulphureus,,,,
17781,Prosternon tessellatum,Pilkasis spragšis,Insecta,496855,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Elateridae,Dendrometrinae,,Prosternini,,Prosternon,,Prosternon tessellatum,,,,
17782,Aecidium euphorbiae,,Fungi,1076816,Fungi,Basidiomycota,Pucciniomycotina,,Pucciniomycetes,,,Pucciniales,Uredinineae,,Pucciniaceae,,,,,Puccinia,,Aecidium euphorbiae,,,,
17795,Phyllotreta undulata,Lenktajuostė kopūstinukė,Insecta,395154,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Galerucinae,,Alticini,,Phyllotreta,,Phyllotreta undulata,,,,
17820,Cantharis rustica,Raudonkojis Minkštavabalis,Insecta,337544,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,,Cantharini,,Cantharis,,Cantharis rustica,,,,
17827,Euphorbia saratoi,,Plantae,774114,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Euphorbiaceae,Euphorbioideae,,Euphorbieae,Euphorbiinae,Euphorbia,,Euphorbia saratoi,,,,
17836,Equisetum,,Plantae,1423802,Plantae,Tracheophyta,,,Polypodiopsida,Equisetidae,,Equisetales,,,Equisetaceae,,,,,Equisetum,,,,,,
17839,Andrena nigroaenea,,Insecta,127726,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Apoidea,Andrenidae,Andreninae,,Andrenini,,Andrena,,Andrena nigroaenea,,,,
17848,Rumex acetosella,Smulkioji rūgštynė,Plantae,53195,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Polygonaceae,Polygonoideae,,Rumiceae,,Rumex,,Rumex acetosella,,,,
17852,Lepyrus capucinus,,Insecta,416238,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Molytinae,,,,Lepyrus,,Lepyrus capucinus,,,,
